sample	Tube_ID	population	Sex	Morph	Age
P36454_327	23.978	Genarp	1		mature
P36454_332	23.1080	Hoje_A_14	0	infuscans	mature
P36454_328	23.1064	Hoje_A_14	0	androchrome	mature
P36454_331	23.1073	Hoje_A_14	0	infuscans	mature
P36454_329	23.1065	Hoje_A_14	1		mature
P36454_330	23.1072	Hoje_A_14	1		mature
P36454_355	23.1102	Genarp	0	infuscans	mature
P36454_356	23.1103	Genarp	1		mature
P36454_360	23.1190	Hoje_A_14	0	androchrome	mature
P36454_359	23.1188	Hoje_A_14	0	infuscans	mature
P36454_390	23.1193	Hoje_A_14	1		mature
P36454_361	23.1196	Hoje_A_14	1		mature
P36454_358	23.1181	Lomma	0	infuscans	mature
P36454_357	23.1180	Lomma	1		mature
P36454_362	23.1258	Genarp	0	androchrome	mature
P36454_364	23.1261	Genarp	0	androchrome	mature
P36454_363	23.1259	Genarp	0	infuscans	mature
P36454_365	23.1264	Genarp	1		mature
P36454_367	23.1275	Hoje_A_14	0	androchrome	mature
P36454_389	23.1270	Hoje_A_14	1		mature
P36454_366	23.1271	Hoje_A_14	1		mature
P36454_368	23.1318	Lomma	1		mature
P36454_209	L24.18	Hoje_A_14	Female	NA	NA
P36454_201	L24.6	Hoje_A_14	Female	NA	NA
P36454_206	L24.10	Hoje_A_14	Male	NA	NA
P36454_117	L24.49	Genarp	Female	NA	NA
P36454_124	L24.45	Genarp	Male	NA	NA
P36454_169	24.103	Lomma	0	androchrome	mature
P36454_167	24.100	Lomma	0	infuscans	mature
P36454_166	24.99	Lomma	0	infuscans-obsoleta	mature
P36454_170	24.104	Lomma	1		mature
P36454_168	24.101	Lomma	1		mature
P36454_165	24.98	Lomma	1		mature
P36454_214	L24.51	Lomma_Kyrkdamm	Female	NA	NA
P36454_215	L24.71	Lomma_Kyrkdamm	Female	NA	NA
P36454_216	L24.91	Lomma_Kyrkdamm	Female	NA	NA
P36454_285	L24.55	Lomma_Kyrkdamm	Male	NA	NA
P36454_286	L24.69	Lomma_Kyrkdamm	Male	NA	NA
P36454_293	L24.87	Lomma_Kyrkdamm	Male	NA	NA
P36454_288	L24.93	Lomma_Kyrkdamm	Male	NA	NA
P36454_174	24.153	Hoje_A_14	0	androchrome	mature
P36454_172	24.151	Hoje_A_14	0	androchrome	mature
P36454_173	24.152	Hoje_A_14	1		mature
P36454_171	24.150	Hoje_A_14	1		mature
P36454_210	L24.111	Hoje_A_14	Female	NA	NA
P36454_202	L24.137	Hoje_A_14	Female	NA	NA
P36454_207	L24.106	Hoje_A_14	Male	NA	NA
P36454_213	L24.113	Hoje_A_14	Male	NA	NA
P36454_208	L24.132	Hoje_A_14	Male	NA	NA
P36454_118	L24.179	Genarp	Female	NA	NA
P36454_125	L24.177	Genarp	Male	NA	NA
P36454_177	24.454	Lomma	0	infuscans	mature
P36454_175	24.447	Lomma	0	androchrome	mature
P36454_178	24.458	Lomma	1		mature
P36454_176	24.448	Lomma	1		mature
P36454_281	L24.207	Lomma_Kyrkdamm	Female	NA	NA
P36454_287	L24.211	Lomma_Kyrkdamm	Male	NA	NA
P36454_203	L24.244	Hoje_A_14	Female	NA	NA
P36454_204	L24.256	Hoje_A_14	Female	NA	NA
P36454_249	24.620	Genarp	0	androchrome	mature
P36454_180	24.606	Genarp	0	infuscans	mature
P36454_251	24.640	Genarp	1		mature
P36454_252	24.655	Genarp	1		mature
P36454_253	24.659	Genarp	1		mature
P36454_179	24.604	Genarp	1		mature
P36454_250	24.628	Genarp	1		mature
P36454_115	L24.259	Genarp	Female	NA	NA
P36454_119	L24.264	Genarp	Female	NA	NA
P36454_126	L24.275	Genarp	Male	NA	NA
P36454_120	L24.327	Genarp	Female	NA	NA
P36454_121	L24.341	Genarp	Female	NA	NA
P36454_132	L24.345	Genarp	Female	NA	NA
P36454_122	L24.350	Genarp	Female	NA	NA
P36454_123	L24.357	Genarp	Female	NA	NA
P36454_127	L24.335	Genarp	Male	NA	NA
P36454_128	L24.352	Genarp	Male	NA	NA
P36454_211	L24.277	Hoje_A_14	Male	NA	NA
P36454_254	24.970	Lomma	0	androchrome	mature
P36454_257	24.980	Lomma	1		mature
P36454_255	24.971	Lomma	1		mature
P36454_256	24.979	Lomma	1		mature
P36454_289	L24.371	Lomma_Kyrkdamm	Male	NA	NA
P36454_290	L24.385	Lomma_Kyrkdamm	Male	NA	NA
P36454_262	24.1029	Genarp	0	infuscans	mature
P36454_258	24.1014	Genarp	0	androchrome	mature
P36454_263	24.1031	Genarp	0	androchrome	mature
P36454_260	24.1020	Genarp	0	infuscans-obsoleta	mature
P36454_333	24.1040	Genarp	1		mature
P36454_334	24.1046	Genarp	1		mature
P36454_259	24.1015	Genarp	1		mature
P36454_261	24.1021	Genarp	1		mature
P36454_264	24.1032	Genarp	1		mature
P36454_129	L24.411	Genarp	Male	NA	NA
P36454_130	L24.420	Genarp	Male	NA	NA
P36454_337	24.1119	Hoje_A_14	0	androchrome	mature
P36454_338	24.1126	Hoje_A_14	0	infuscans	mature
P36454_336	24.1075	Hoje_A_14	0	androchrome	mature
P36454_339	24.1150	Hoje_A_14	1		mature
P36454_340	24.1157	Hoje_A_14	1		mature
P36454_335	24.1074	Hoje_A_14	1		mature
P36454_205	L24.425	Hoje_A_14	Female	NA	NA
P36454_212	L24.433	Hoje_A_14	Male	NA	NA
P36454_131	L24.480	Genarp	Male	NA	NA
P36454_345	24.1386	Lomma	0	androchrome	mature
P36454_346	24.1388	Lomma	0		mature
P36454_344	24.1385	Lomma	0	androchrome	mature
P36454_342	24.1383	Lomma	0	infuscans	mature
P36454_341	24.1382	Lomma	1		mature
P36454_343	24.1384	Lomma	1		mature
P36454_282	L24.574	Lomma_Kyrkdamm	Female	NA	NA
P36454_283	L24.588	Lomma_Kyrkdamm	Female	NA	NA
P36454_284	L24.603	Lomma_Kyrkdamm	Female	NA	NA
P36454_291	L24.595	Lomma_Kyrkdamm	Male	NA	NA
P36454_292	L24.615	Lomma_Kyrkdamm	Male	NA	NA
P36454_347	24.1407	Genarp	0	infuscans	mature
P36454_369	24.1446	Hoje_A_14	0	androchrome	mature
P36454_371	24.1458	Hoje_A_14	0	infuscans	mature
P36454_372	24.1475	Hoje_A_14	0	infuscans	mature
P36454_374	24.1493	Hoje_A_14	1		mature
P36454_348	24.1445	Hoje_A_14	1		mature
P36454_370	24.1457	Hoje_A_14	1		mature
P36454_373	24.1476	Hoje_A_14	1		mature
P36454_377	24.1726	Genarp	0	androchrome	mature
P36454_375	24.1719	Genarp	0	infuscans	mature
P36454_376	24.1720	Genarp	1		mature
P36454_378	24.1734	Lomma	1		mature
P36454_381	24.1804	Hoje_A_14	0	androchrome	mature
P36454_379	24.1799	Hoje_A_14	0	infuscans-obsoleta	mature
P36454_382	24.1821	Hoje_A_14	1		mature
P36454_380	24.1800	Hoje_A_14	1		mature
P36454_383	24.1894	Genarp	0	androchrome	mature
P36454_384	24.1899	Lomma	0	androchrome	mature
P36454_385	24.2109	Genarp	0	infuscans	mature
P36454_386	24.2163	Hoje_A_14	0	infuscans	mature
